"city","state","pop2020","pop2010","area2020"
"Miami Gardens","Florida",111640,107167,18.2
"Las Cruces","New Mexico",111385,97618,76.9
"Sugar Land","Texas",111026,78817,40.5
"Murrieta","California",110949,103466,33.6
"Ventura","California",110763,106433,21.9
"Everett","Washington",110629,103019,33.2
"Temecula","California",110003,100097,37.3
"Dearborn","Michigan",109976,98153,24.2
"Santa Maria","California",109707,99553,22.8
"West Covina","California",109501,106098,16
"El Monte","California",109450,113475,9.6
"Greeley","Colorado",108795,92889,48.9
"Sparks","Nevada",108445,90264,36.4
"Centennial","Colorado",108418,100377,29.7
"Boulder","Colorado",108250,97385,26.3
"Sandy Springs","Georgia",108080,93853,37.7
"Inglewood","California",107762,109673,9.1
"Edison","New Jersey",107588,99967,30.1
"South Fulton","Georgia",107436,0,85.2
"Green Bay","Wisconsin",107395,104057,45.5
"Burbank","California",107337,103340,17.3
"Renton","Washington",106785,90927,23.5
"Hillsboro","Oregon",106447,91611,25.7
"El Cajon","California",106215,99478,14.5
"Tyler","Texas",105995,96900,57.5
"Davie","Florida",105691,91992,34.9
"San Mateo","California",105661,97207,12.1
"Brockton","Massachusetts",105643,93810,21.3
"Concord","North Carolina",105240,79066,63.5
"Jurupa Valley","California",105053,0,42.9
"Daly City","California",104901,101123,7.6
"Allen","Texas",104627,84246,26.4
"Rio Rancho","New Mexico",104046,87521,103.4
"Rialto","California",104026,99171,24.1
"Woodbridge","New Jersey",103639,99585,23.3
"South Bend","Indiana",103453,101168,42
"Spokane Valley","Washington",102976,89755,37.7
"Norwalk","California",102773,105549,9.7
"Menifee","California",102527,77519,46.5
"Vacaville","California",102386,92428,29.9
"Wichita Falls","Texas",102316,104553,72
"Davenport","Iowa",101724,99685,63.8
"Quincy","Massachusetts",101636,92271,16.6
"Chico","California",101475,86187,34.1
"Lynn","Massachusetts",101253,90329,10.7
"Lee's Summit","Missouri",101108,91364,63.9
"New Bedford","Massachusetts",101079,95072,20
"Federal Way","Washington",101030,89306,22.3
"Clinton","Michigan",100513,96796,28.1
"Edinburg","Texas",100243,77100,44.7
"Nampa","Idaho",100200,81557,33.5
"Roanoke","Virginia",100011,97032,42.5
